Date,Close,High,Low,Open,Volume
2010-06-29,1.5927,1.6667,1.1693,1.2667,281494500
2010-06-30,1.5887,2.028,1.5533,1.7193,257806500
2010-07-01,1.464,1.728,1.3513,1.6667,123282000
2010-07-02,1.28,1.54,1.2473,1.5333,77097000
2010-07-06,1.074,1.3333,1.0553,1.3333,103003500
2010-07-07,1.0533,1.1087,0.9987,1.0933,103825500
2010-07-08,1.164,1.168,1.038,1.076,115671000
2010-07-09,1.16,1.1933,1.1033,1.172,60759000
2010-07-12,1.1367,1.2047,1.1333,1.1967,33037500
2010-07-13,1.2093,1.2427,1.1267,1.1593,40201500
2010-07-14,1.3227,1.3433,1.184,1.196,62928000
2010-07-15,1.326,1.4333,1.2667,1.3293,56097000
2010-07-16,1.376,1.42,1.3367,1.38,39319500
2010-07-19,1.4607,1.4833,1.3947,1.4247,37297500
2010-07-20,1.3533,1.4567,1.3367,1.4567,27379500
2010-07-21,1.348,1.3933,1.3,1.3773,18787500
2010-07-22,1.4,1.4167,1.358,1.3667,14367000
2010-07-23,1.4193,1.4373,1.404,1.4127,9804000
2010-07-26,1.3967,1.4333,1.3533,1.4333,13833000
2010-07-27,1.37,1.412,1.3507,1.394,9295500
2010-07-28,1.3813,1.3933,1.3673,1.37,7008000
2010-07-29,1.3567,1.392,1.3333,1.3847,9240000
2010-07-30,1.3293,1.3627,1.3033,1.3467,6403500
2010-08-02,1.3947,1.398,1.3553,1.3667,10771500
2010-08-03,1.4633,1.4633,1.388,1.4,18457500
2010-08-04,1.4173,1.4787,1.39,1.4633,13695000
2010-08-05,1.3633,1.4367,1.3367,1.436,11943000
2010-08-06,1.306,1.344,1.3013,1.34,11128500
2010-08-09,1.3067,1.332,1.2967,1.3267,12190500
2010-08-10,1.2687,1.31,1.2547,1.31,19219500
2010-08-11,1.1933,1.2587,1.19,1.246,11964000
2010-08-12,1.1733,1.1933,1.1593,1.1867,10365000
2010-08-13,1.2213,1.23,1.1773,1.212,9510000
2010-08-16,1.252,1.2533,1.2173,1.23,7287000
2010-08-17,1.2767,1.2933,1.252,1.264,6718500
2010-08-18,1.2513,1.306,1.24,1.306,9019500
2010-08-19,1.2527,1.2833,1.222,1.236,8686500
2010-08-20,1.2733,1.274,1.234,1.2433,4440000
